"gameid","team1","team2","team1sets","team2sets","team1win","team2win"
6174386,"Liberty","Stony Brook",3,0,1,0
6174387,"UAB","Austin Peay",2,3,0,1
6174388,"Charlotte","Coastal Carolina",3,2,1,0
6174389,"UIC","Lindenwood",3,0,1,0
6174390,"UAlbany","Navy",0,3,0,1
6174391,"Southeast Mo. St.","Southern Ill.",1,3,0,1
6174392,"Troy","Wright St.",0,3,0,1
6174393,"Loyola Maryland","Robert Morris",3,1,1,0
6174394,"Pepperdine","Texas A&M",0,3,0,1
6174395,"Kansas St.","San Diego St.",3,0,1,0
6174396,"Eastern Ky.","Louisiana",0,3,0,1
6174397,"Fordham","Stetson",3,2,1,0
6174398,"Arizona","Pacific",3,1,1,0
6174399,"Weber St.","Saint Mary's (CA)",2,3,0,1
6174400,"Abilene Christian","Houston Christian",3,1,1,0
6174401,"Arkansas St.","North Ala.",3,2,1,0
6174402,"James Madison","Ohio",0,3,0,1
6174403,"Sam Houston","A&M-Corpus Christi",1,3,0,1
6174404,"Butler","UC San Diego",3,2,1,0
6174405,"CSU Bakersfield","Southern Utah",3,1,1,0
6174406,"Northern Colo.","Kentucky",1,3,0,1
6174407,"Milwaukee","Villanova",2,3,0,1
6174408,"California Baptist","Jacksonville",2,3,0,1
6174409,"California","Central Conn. St.",3,0,1,0
6174410,"Saint Peter's","Merrimack",1,3,0,1
6174411,"Merrimack","Duquesne",0,3,0,1
6174412,"NJIT","Siena",3,0,1,0
6174413,"Iona","Lehigh",2,3,0,1
6174414,"Cal Poly","Nevada",3,1,1,0
6174415,"LSU","UCLA",2,3,0,1
6174416,"Ga. Southern","UNC Greensboro",3,0,1,0
6174417,"Wake Forest","Northeastern",3,0,1,0
6174418,"Portland St.","Cal St. Fullerton",3,0,1,0
6174419,"UNC Asheville","UMES",3,0,1,0
6174420,"Northern Ky.","ETSU",3,1,1,0
6174421,"UC Irvine","Seton Hall",0,3,0,1
6174422,"Colgate","Illinois St.",3,0,1,0
6174423,"New Mexico St.","North Florida",3,0,1,0
6174424,"UNCW","Presbyterian",3,0,1,0
6174425,"Dayton","Marquette",2,3,0,1
6174426,"Bradley","IUPUI",3,0,1,0
6174427,"Utah Valley","NC State",2,3,0,1
6174428,"Mississippi St.","Northwestern St.",3,0,1,0
6174429,"Wyoming","South Dakota St.",3,1,1,0
6174430,"Rice","Southern California",3,0,1,0
6174431,"Western Mich.","UNI",3,1,1,0
6174432,"Old Dominion","Norfolk St.",3,0,1,0
6174433,"Houston","Southern Miss.",3,1,1,0
